cust_id,first_name,last_name,phone_num,address,city,state,zip,age
1,Dollie,Eastmond,804-456-7281,108 Longview Point,Richmond,,31753,57
2,Seline,Clynman,713-906-3786,355 Nobel Center,Houston,TX,60253,39
3,Mischa,Verrico,563-545-6991,01266 Pierstorff Court,,,57857,48
4,Mary,Olivey,719-910-3421,6452 La Follette Plaza,Colorado Springs,CO,75056,
5,Timmie,Sprull,312-524-4830,36877 Lillian Center,Chicago,IL,,80
6,Ferdie,Leveret,718-885-4319,75105 Portage Plaza,,NY,56348,33
7,Gardie,Boyd,602-472-0285,740 Coleman Point,Phoenix,AZ,81526,
8,Bastien,Janecki,571-843-1013,911 Anniversary Parkway,Springfield,VA,56302,
9,Ginger,Winridge,203-645-1691,35079 Esker Place,Waterbury,CT,68468,46
10,Adrienne,Nials,585-222-8005,52763 Hovde Way,Rochester,NY,22885,18
11,Shermie,Arnaudot,321-844-2988,3 Homewood Center,Melbourne,FL,44087,67
12,Steffen,Corlett,937-942-7118,7348 Monument Street,Dayton,OH,23643,35
13,Micaela,Poter,559-327-7659,613 Nova Way,,,16176,37
14,Brigitta,Sooper,239-423-8964,1 Cherokee Avenue,Fort Myers,,71725,51
15,Sander,Haley,714-918-8268,931 Dryden Center,Newport Beach,CA,,34
16,Nari,Northrop,210-286-1654,1295 Macpherson Drive,San Antonio,TX,40375,45
17,Caria,Newby,310-929-0571,60 Gulseth Terrace,Santa Monica,CA,23763,
18,Warner,Goney,646-770-8263,4 Westend Place,New York City,,29171,43
19,Gordon,Fearneley,626-624-8267,18 Hollow Ridge Place,Pasadena,CA,65788,80
20,Koenraad,Potebury,651-928-0737,293 Westridge Avenue,Saint Paul,MN,72895,61
21,Saidee,Jillett,512-160-5295,68 Golf Plaza,Round Rock,TX,50236,45
22,Conroy,Slaight,781-960-2790,,,MA,48813,
23,Francois,Simmance,215-806-7375,1911 Eastwood Park,Philadelphia,PA,10106,35
24,Johnette,Hrycek,765-644-7958,,,,35365,36
25,Guenevere,Bukowski,703-626-8515,5567 Stephen Road,Arlington,VA,11583,27
26,Bria,Camilio,402-831-2952,01224 Holy Cross Court,Omaha,NE,10675,52
27,Maris,Threader,217-493-3315,8 Meadow Valley Place,Springfield,IL,51167,
28,Ludwig,Wennington,603-533-0249,314 Onsgard Junction,Portsmouth,NH,,72
29,Ezechiel,Landal,415-664-1233,1 Sherman Court,San Francisco,CA,33932,36
30,Delphinia,De Maine,936-918-0650,09 Michigan Plaza,Conroe,TX,79647,72
31,Aaren,de Clerq,765-263-7813,50739 School Circle,Muncie,IN,84249,17
32,Adorne,Tenby,941-613-6697,,Bradenton,FL,24564,55
33,Horacio,Laite,202-904-2385,,Washington,,,46
34,Dwight,Klaessen,386-756-2068,1 Anhalt Lane,,FL,34477,
35,Glynis,Beaudry,260-724-8833,894 American Ash Court,Fort Wayne,IN,59543,31
36,Peta,Braz,804-120-9446,1710 Knutson Point,Richmond,VA,32536,
37,Andrey,Ambrosch,727-431-0862,,Saint Petersburg,FL,80803,19
38,Griffith,Maltster,203-191-7842,942 Colorado Park,,CT,57375,57
39,Constantine,Godby,713-468-9192,19175 Bunting Way,Houston,TX,,66
40,Devondra,Boneham,614-641-1635,1799 Arrowood Lane,Columbus,OH,50840,47
41,Maurine,Tayloe,626-637-8481,,Pasadena,CA,65111,28
42,Leroi,Korting,702-652-0654,71587 Sutherland Drive,Las Vegas,NV,32543,20
43,Ganny,Lourens,206-649-4417,71079 Bowman Junction,Seattle,,24555,
44,Elia,Hebble,713-216-2914,14 Bartillon Hill,Houston,TX,20494,62
45,Noby,Husthwaite,918-247-3825,6819 Beilfuss Drive,Tulsa,,49407,66
46,Erin,Mottini,713-794-2382,57 Atwood Way,Houston,TX,42442,80
47,Moishe,Turley,646-399-8904,05849 Eggendart Hill,New York City,NY,67509,53
48,Sarette,Ascraft,904-975-7703,96 Brickson Park Pass,Jacksonville,,87537,
49,Zarla,Posten,918-494-5902,,Tulsa,,82481,48
50,Hertha,Greveson,205-400-6083,4575 Leroy Lane,Birmingham,AL,,80
51,Ralph,Ryam,586-858-5023,,Detroit,MI,17289,26
52,Tamera,Neilus,919-605-7077,1 Sunnyside Lane,,NC,30154,79
53,Berk,Cabrera,610-426-6863,327 Birchwood Lane,Philadelphia,PA,36822,32
54,Skylar,Owain,513-789-8534,90513 Union Drive,,,18291,27
55,Juli,Dorking,586-770-5686,68 Sullivan Avenue,Southfield,MI,11413,31
56,Cherey,Dureden,312-776-8439,,Chicago,IL,11966,79
57,Mohandas,Aveson,913-425-0006,328 Pierstorff Trail,Kansas City,KS,40879,
58,Lilas,Iianon,505-624-3279,8090 Doe Crossing Park,Albuquerque,,40891,66
59,Juliann,Arnolds,251-578-4855,4 Almo Terrace,Mobile,AL,43392,
60,Tana,Duggan,423-891-6945,,Chattanooga,TN,19166,45
61,Ahmed,Durn,410-144-3006,0191 Bay Terrace,,,37196,33
62,Matthieu,Stearns,419-909-7875,29237 Dorton Plaza,Toledo,OH,16947,76
63,Bamby,Lantiffe,623-274-4550,9880 Stephen Street,Scottsdale,AZ,40905,
64,Bart,Payler,504-406-2815,391 Killdeer Crossing,New Orleans,LA,44910,50
65,Annabella,Roscher,615-614-2761,4 Beilfuss Pass,Nashville,TN,66894,73
66,Tucker,Ivanyushkin,917-945-1800,16 Lunder Court,New York City,NY,52012,36
67,Alano,Body,517-730-1757,524 Porter Avenue,,MI,69814,56
68,Deck,Sarl,405-730-6844,069 Arkansas Place,Oklahoma City,OK,78483,
69,Armand,Pavolini,214-793-3574,450 Dakota Parkway,Dallas,TX,11070,37
70,Editha,Ferrieroi,212-312-7312,87 Lukken Place,,,,64
71,Florentia,Stitle,901-112-8759,,Memphis,TN,,50
72,Wesley,Wooffitt,786-569-3040,7630 Lotheville Road,Miami,FL,47605,43
73,Cecilius,Bromilow,210-108-3145,868 Lien Place,,TX,35417,73
74,Kai,Antoniou,859-746-9473,073 Bashford Center,Lexington,KY,,45
75,Sandro,Hargie,916-468-7937,23192 Havey Junction,Sacramento,CA,88255,80
76,Biddy,Branche,417-786-5358,9 Fair Oaks Court,Springfield,MO,54578,38
77,Ximenez,Papa,484-164-6161,617 Carberry Place,Reading,PA,,
78,Holmes,Hollyer,585-654-9135,6194 Pepper Wood Pass,Rochester,NY,10698,26
79,Dick,Easterby,228-729-5605,0552 Gateway Junction,Gulfport,MS,50500,72
80,Cynde,Ossulton,804-110-2512,58523 Moulton Plaza,Richmond,VA,80641,18
81,Archibald,Tuiller,601-951-1892,6 Muir Parkway,,MS,76609,46
82,Leigh,Kluss,701-819-2055,71700 Esker Park,,ND,80331,21
83,Patrica,Shallcross,770-948-6346,2 Dahle Circle,Alpharetta,GA,,79
84,Godart,Slocumb,415-175-6044,92813 Texas Center,San Francisco,CA,34398,65
85,Johannes,Clymer,865-572-4697,13080 Steensland Court,Knoxville,TN,15302,69
86,Kelsey,Coffee,251-843-3817,,Mobile,AL,43773,33
87,Jareb,Marlen,239-294-1181,3199 Pennsylvania Trail,Fort Myers,FL,82212,73
88,Addison,Gasperi,951-140-9995,5114 Melrose Center,Moreno Valley,CA,20965,64
89,Stuart,Sallenger,434-630-5079,96143 Linden Terrace,Lynchburg,VA,71066,
90,Ephrem,Firebrace,251-198-0517,650 Banding Crossing,Mobile,AL,40471,74
91,Selinda,Teaser,619-735-8599,0 Montana Terrace,San Diego,CA,,19
92,Barbette,Kennford,248-611-9799,461 Scoville Junction,,MI,66191,
93,Shanna,M'Quharg,763-476-2604,9 Dryden Road,Loretto,,87975,46
94,Emmy,Candlin,405-398-5119,,Edmond,OK,30643,30
95,Wendall,Preedy,570-661-5402,41283 Dakota Circle,Wilkes Barre,PA,,56
96,Mac,Cherrison,815-924-1007,,Rockford,IL,49366,
97,Sephira,Couvert,315-743-8785,,Utica,,,33
98,Mayer,Osler,901-828-8966,6902 Myrtle Place,,TN,26652,80
99,Cecelia,Padell,913-685-6200,19996 Reindahl Terrace,Shawnee Mission,,42853,16
100,Nonie,Farahar,623-475-7092,439 Pierstorff Place,Phoenix,AZ,,79
101,Idalia,Grunnell,804-574-9500,99562 Westerfield Junction,,VA,,55
102,Florencia,Rozzier,601-394-8590,,Hattiesburg,,72819,47
103,Vinny,Samudio,704-495-5383,12435 Badeau Plaza,Charlotte,,71340,59
104,Livia,Brunicke,910-224-8313,,,NC,36800,26
105,Myrah,Rushmere,313-500-1714,1 Sutherland Circle,Dearborn,MI,53189,46
106,Trixie,Rennard,704-401-2345,9 Blackbird Crossing,,NC,59331,57
107,Joey,O'Cosgra,203-903-0092,5234 Cordelia Terrace,,,48685,65
108,Sawyer,O'Conor,651-131-5487,,Saint Paul,MN,16855,34
109,Clifford,Skilling,310-657-2841,267 Canary Alley,,,79507,46
110,Swen,Jacks,713-394-0528,,Houston,,30788,53
111,Pascal,Aitken,904-686-9660,6 Banding Terrace,Jacksonville,,51611,33
112,Glynis,Gason,202-706-5165,922 Oak Junction,Washington,DC,64133,30
113,Joanna,Callow,508-252-7208,17694 Tennyson Park,Brockton,MA,19134,47
114,Maynard,Paladino,337-365-5290,470 Monica Point,Lake Charles,LA,61537,74
115,Tarra,Franzman,806-998-9664,96336 Granby Circle,Amarillo,,54668,78
116,Lenora,Gricks,203-468-1837,1909 Roxbury Alley,Stamford,CT,,17
117,Winnie,Lohoar,415-617-4112,1 Fairview Crossing,,CA,15920,41
118,Aylmar,Kincey,212-845-4136,83 5th Lane,New York City,NY,33357,79
119,Alick,Knotton,806-842-5362,6 Haas Circle,Lubbock,TX,85885,18
120,Egan,Follos,504-449-0330,,,LA,81795,28
121,Olive,Werrilow,304-974-4421,769 Transport Avenue,Charleston,,33312,19
122,Daphne,Vasechkin,360-617-2767,67 Goodland Court,,WA,,
123,Selena,Woosnam,409-951-7609,26 Susan Way,Beaumont,TX,47089,57
124,Ilysa,Spadollini,205-818-0823,59001 Canary Alley,Tuscaloosa,AL,52609,71
125,Edsel,Fraser,202-865-3189,0126 Maryland Circle,Washington,,61089,32
126,Noak,Barabisch,404-691-3650,93394 Summerview Terrace,Atlanta,GA,64142,32
127,Kinsley,Treacher,716-580-6477,3795 Carey Alley,Buffalo,NY,46588,44
128,Molli,Tunesi,805-258-5927,0 Moulton Point,Santa Barbara,CA,66409,73
129,Riley,Avey,615-832-4744,56 Waxwing Place,Murfreesboro,TN,49093,70
130,Olenka,Panichelli,510-529-3634,,Berkeley,CA,79706,26
131,Sena,Winslade,413-634-9708,3 Bonner Junction,Springfield,,65712,45
132,Jennica,Illiston,813-471-2935,27 Pine View Trail,Tampa,FL,62627,37
133,Darnall,Josephson,775-758-4935,2805 Shoshone Way,Reno,NV,,77
