id,first_name,last_name,hire_date,wage
1,Alister,Sainter,11/01/2019,24.19
2,Jillian,Joscelin,07/02/2022,40.97
3,Feliza,Thunnercliffe,09/12/2022,30.36
4,Arte,Kiossel,03/27/2023,19.73
5,Roshelle,Lippingwell,09/01/2020,57.06
6,Adaline,Flanner,11/21/2020,27.56
7,Theresina,Brechin,10/22/2022,25.41
8,Godfree,Mahmood,04/04/2020,41.32
9,Tatum,Misson,06/29/2022,38.4
10,Peyter,Tatters,08/20/2020,45.04
11,Demetre,Antoniewski,08/27/2019,41.62
12,Odetta,Duck,01/07/2022,43.12
13,Trenna,Schriren,01/17/2022,43.97
14,Teodor,D'eath,09/16/2019,51.78
15,Trueman,Rembrant,07/21/2020,46.26
16,Blanca,Syddon,08/26/2021,46.72
17,Arline,McGilleghole,11/05/2021,45.17
18,Cristine,Denisyev,05/26/2023,32.12
19,Heddi,Banaszkiewicz,06/25/2022,12.22
20,Aloysius,Millichip,09/25/2022,29.74
21,Elisha,Collum,12/22/2019,32.51
22,Harv,Van Brug,05/19/2022,34.93
23,Trudi,Boldry,03/02/2020,49.08
24,Matteo,Naismith,04/08/2021,13.04
25,Stefan,Merrill,04/24/2023,52.02
26,Aldis,Juste,09/04/2022,39.96
27,Jonathan,Aphale,04/06/2020,16.07
28,Garwin,Baly,06/03/2020,33.56
29,Elliot,Bargh,02/14/2020,18.38
30,Mischa,Scorthorne,12/06/2020,44.62
31,Brit,Aglione,02/06/2021,28.8
32,Aguistin,Worley,10/30/2022,46.87
33,Calypso,Foystone,06/10/2020,15.56
34,Veronique,Gower,07/24/2019,26.65
35,Kirby,Shilston,02/19/2022,25.15
36,Silvan,Blodgett,08/01/2022,29.62
37,Lion,Piffe,07/16/2020,14.39
38,Fabio,Gillaspy,07/16/2019,17.46
39,Dillon,Brignell,01/22/2023,40.84
40,Marijn,Longwood,01/11/2023,16.63
41,Sharona,Palfrey,05/23/2021,31.89
42,Corliss,Dauncey,05/06/2023,24.62
43,Pedro,Shoulder,07/08/2019,33.89
44,Del,Belitz,06/19/2023,13.66
45,Tracey,Instock,11/19/2019,16.89
46,Paquito,Enderle,10/01/2022,16.72
47,Biron,Bethel,04/20/2020,56.56
48,Pascal,Grunson,05/23/2020,36.49
49,Agnesse,Crotch,11/30/2020,58.82
50,Birch,Beech,05/06/2020,59.72
51,Harmonia,Abson,08/08/2019,19.35
52,Alexandra,Llewellyn,09/02/2020,27.28
53,Carmencita,Rennles,10/24/2020,17.38
54,Imelda,Kayser,08/08/2020,22.03
55,Sargent,Ivachyov,12/02/2021,45.59
56,Saul,Ensley,06/05/2021,15.09
57,Grenville,Carus,06/30/2022,58.99
58,Fredek,Kuschek,04/19/2021,35.83
59,Stephi,Sumers,12/10/2021,26.0
60,Georgeta,Imort,12/04/2020,22.28
61,Magda,Danilov,08/26/2022,49.83
62,Quinn,Edmondson,06/11/2020,21.04
63,Waldo,Sarjeant,07/29/2021,24.76
64,Odey,Gresly,09/27/2021,19.43
65,Karlen,Labusquiere,04/03/2022,30.2
66,Viola,Croote,08/21/2022,59.24
67,Maible,Sollowaye,11/18/2020,13.93
68,Christen,Buyers,02/16/2023,22.36
69,Gabriela,Chislett,05/30/2021,24.13
70,Connor,Skingley,11/07/2022,32.47
71,Hamish,Janout,02/18/2020,28.45
72,Lawry,Wickie,08/10/2021,32.52
73,Shel,Dewerson,10/05/2022,18.28
74,Nat,Wilber,07/18/2022,16.02
75,Maure,Fechnie,04/27/2021,44.21
76,Reade,Mellon,09/12/2020,22.33
77,Ossie,Marchant,06/16/2022,47.86
78,Northrop,Estabrook,06/17/2020,52.73
79,Angelika,Hansel,07/26/2022,50.45
80,Darleen,MacChaell,10/19/2022,19.23
81,Karine,Irwin,10/28/2022,25.58
82,Dorisa,Quirke,04/04/2020,18.28
83,Rochester,Fanshaw,02/27/2020,12.44
84,Englebert,Charke,04/04/2021,13.9
85,Rodney,Fairnie,02/10/2023,46.0
86,Humfrid,Blagdon,11/03/2020,58.3
87,Reilly,Sillitoe,12/01/2020,37.93
88,Bertina,Tocque,01/23/2022,55.55
89,Dulcinea,Stovin,03/20/2022,27.38
90,Shandeigh,Raleston,07/17/2022,31.46
91,Friedrick,Sebring,08/13/2022,23.77
92,Franklin,Tredget,11/28/2020,34.2
93,Karry,MacAndie,11/08/2021,33.16
94,Nesta,Roglieri,12/04/2020,38.37
95,Pascal,Back,11/17/2021,42.15
96,Rickert,Zincke,02/23/2023,29.37
97,Bronnie,Powrie,03/24/2021,37.82
98,Stevy,McVeigh,07/25/2019,44.35
99,Sheilakathryn,Snookes,10/10/2019,33.46
100,Syd,Banaszkiewicz,07/09/2022,22.96
101,Sibylle,Rayment,04/16/2023,19.72
102,Hortensia,Seal,11/21/2022,33.92
103,Virginie,Fagence,02/06/2023,47.62
104,Duncan,Largan,07/03/2021,21.44
105,Elsie,Charrette,03/16/2022,28.18
106,Vale,Aisbett,05/16/2023,27.84
107,Caitrin,Kowal,08/14/2022,49.39
108,Web,Eveling,05/04/2021,29.49
109,Ody,Windaybank,10/16/2020,21.01
110,Denny,Whitely,07/14/2019,35.88
111,Gael,Coade,04/17/2023,46.17
112,Mozelle,Nuth,11/01/2022,36.85
113,Katheryn,Cuxon,03/15/2022,23.37
114,Barron,Stoner,08/23/2020,35.17
115,Charisse,Clearley,04/02/2022,28.62
116,Vassili,Tille,03/05/2022,15.88
117,Rolland,Bielby,03/04/2020,43.62
118,Ray,Corbert,02/06/2020,25.71
119,Clarence,Greenhill,08/18/2022,29.49
120,Skipper,Heinrici,01/01/2021,29.62
121,Odilia,Wipper,06/02/2023,26.66
122,Charo,Sloam,01/22/2021,49.04
123,Petunia,Paal,06/16/2023,14.67
124,Neila,Kernaghan,12/07/2022,52.49
125,Sharity,Archard,05/11/2023,47.93
126,Kiley,Cordon,05/05/2023,21.36
127,Bobbie,Kleinpeltz,11/28/2019,25.53
